Rank,State,Population
1,California,23667764
2,New York,17558072
3,Texas,14228000
4,Pennsylvania,11867000
5,Illinois,11419000
6,Ohio,10797000
7,Florida,9739000
8,Michigan,9259000
9,New Jersey,7364000
10,North Carolina,5874000
11,Massachusetts,5737000
12,Indiana,5491000
13,Georgia,5464000
14,Virginia,5346000
15,Missouri,4917000
16,Wisconsin,4706000
17,Tennessee,4591000
18,Maryland,4216000
19,Louisiana,4203000
20,Washington,4130000
21,Minnesota,4077000
22,Alabama,3891000
23,Kentucky,3661000
24,South Carolina,3119000
25,Connecticut,3107000
26,Oklahoma,3026000
27,Iowa,2914000
28,Colorado,2890000
29,Arizona,2718000
30,Oregon,2632000
31,Mississippi,2520000
32,Kansas,2363000
33,Arkansas,2285000
34,West Virginia,1950000
35,Nebraska,1570000
36,Utah,1461000
37,New Mexico,1299000
38,Maine,1125000
39,Hawaii,985000
40,Rhode Island,948000
41,Idaho,945000
42,New Hampshire,921000
43,Nevada,799000
44,Montana,787000
45,South Dakota,690000
46,North Dakota,654000
x,District of Columbia,638000
47,Delaware,596000
48,Vermont,512000
49,Wyoming,471000
50,Alaska,400000
