Rank,State,Pop2000,Pop2010
1,California,33871648,37253956
2,Texas,20851820,25145561
3,New York,18976457,19378102
4,Florida,15982378,18801310
5,Illinois,12419293,12830632
6,Pennsylvania,12281054,12702379
7,Ohio,11353140,11536504
8,Michigan,9938444,9883640
9,Georgia,8186453,9687653
10,North Carolina,8049313,9535483
11,New Jersey,8414350,8791894
12,Virginia,7078515,8001024
13,Washington,5894121,6724540
14,Massachusetts,6349097,6547629
15,Indiana,6080485,6483802
16,Arizona,5130632,6392017
17,Tennessee,5689283,6346105
18,Missouri,5595211,5988927
19,Maryland,5296486,5773552
20,Wisconsin,5363675,5686986
21,Minnesota,4919479,5303925
22,Colorado,4301261,5029196
23,Alabama,4447100,4779736
24,South Carolina,4012012,4625364
25,Louisiana,4468976,4533372
26,Kentucky,4041769,4339367
27,Oregon,3421399,3831074
28,Oklahoma,3450654,3751351
29,Connecticut,3405565,3574097
30,Iowa,2926324,3046355
31,Mississippi,2844658,2967297
32,Arkansas,2673400,2915918
33,Kansas,2688418,2853118
34,Utah,2233169,2763885
35,Nevada,1998257,2700551
36,New Mexico,1819046,2059179
37,West Virginia,1808344,1852994
38,Nebraska,1711263,1826341
39,Idaho,1293953,1567582
40,Hawaii,1211537,1360301
41,Maine,1274923,1328361
42,New Hampshire,1235786,1316470
43,Rhode Island,1048319,1052567
44,Montana,902195,989415
45,Delaware,783600,897934
46,South Dakota,754844,814180
47,Alaska,626932,710231
48,North Dakota,642200,672591
49,Vermont,608827,625741
,District of Columbia,572059,601723
50,Wyoming,493782,563626
